Thermal Conductivity(W/mK),Predicted by model,Set
102.0,103.76871,Train
82.0,82.42095,Train
66.2,67.51441,Train
77.0,73.66742,Train
155.0,155.1079,Train
133.0,133.52145,Train
83.7,84.31767,Train
98.0,98.62997,Train
107.0,106.80263,Train
84.0,87.839836,Train
154.0,152.9385,Train
88.8,88.91044,Train
112.0,111.555534,Train
97.7,97.01548,Train
105.0,107.27637,Train
154.0,152.9385,Train
125.0,122.84858,Train
111.0,111.192795,Train
83.0,85.189674,Train
84.0,89.67089,Train
76.5,73.66742,Train
105.0,105.72216,Train
102.0,102.20761,Train
142.0,140.54207,Train
62.39,63.25599,Train
86.0,86.88817,Train
86.0,87.54151,Train
106.0,106.80321,Train
108.4,103.76871,Train
68.5,73.66742,Train
82.56,80.44101,Train
121.0,120.395874,Train
79.0,79.092224,Train
108.0,102.20761,Train
112.0,112.06011,Train
68.0,72.16125,Train
95.0,102.20761,Train
111.1,111.58844,Train
76.3,76.68378,Train
74.1,73.55592,Train
55.0,55.287395,Train
89.61,90.60696,Train
121.0,103.84439,Train
93.0,91.82658,Train
119.0,120.395874,Train
154.0,154.65648,Train
126.0,124.9524,Train
100.0,100.13719,Train
100.3,98.405136,Train
112.5,111.98366,Train
101.3,103.76871,Train
121.0,120.395874,Train
109.0,108.51781,Train
98.0,100.095665,Train
66.7,66.806,Train
94.9,96.933945,Train
60.0,58.96369,Train
149.0,149.73106,Train
94.0,94.52482,Train
85.0,84.90136,Train
106.2,106.863106,Train
61.0,61.014084,Train
65.0,66.62267,Train
75.0,72.16125,Train
143.0,145.31754,Train
86.0,103.84439,Train
116.0,114.123985,Train
91.9,90.4939,Train
110.0,109.654396,Train
65.5,66.2223,Train
123.0,122.41904,Train
151.0,150.34688,Train
109.0,108.292625,Train
94.0,89.67089,Train
76.3,75.182175,Train
145.0,143.46278,Train
94.0,94.4644,Train
71.0,72.16125,Train
148.0,149.78302,Train
93.0,87.839836,Train
76.2,74.41038,Train
125.0,122.84858,Train
102.4,103.76871,Train
85.0,84.78461,Train
100.0,100.897156,Train
103.4,103.76871,Train
117.0,115.78119,Train
142.0,140.24274,Train
156.0,156.1172,Train
116.0,116.66093,Train
122.0,120.225685,Train
64.1,64.02562,Train
97.0,100.38882,Train
108.5,107.78132,Train
50.1,50.14286,Train
133.0,133.16008,Train
74.0,72.16125,Train
88.0,89.75243,Train
114.0,115.644424,Train
101.2,100.9485,Train
121.0,119.37997,Train
76.0,75.02604,Train
144.0,143.83713,Train
111.0,108.51781,Test
58.0,67.51441,Test
63.0,70.35925,Test
124.0,122.23685,Test
99.0,103.76871,Test
135.0,133.16008,Test
77.0,72.16125,Test
121.0,115.644424,Test
66.7,66.806,Test
84.0,83.06253,Test
89.0,87.98207,Test
136.0,133.58368,Test
115.0,111.02216,Test
126.0,126.02726,Test
128.0,123.21513,Test
133.0,132.7471,Test
110.3,96.933945,Test
107.0,103.77037,Test
155.0,143.46278,Test
